,productsku,fullvisitorid,tot_interest,product_name
705,GGOEGCNB021099,11577526465501235,2.0,Seat Pack Organizer
706,GGOEGAAX0037,11577526465501235,2.0,Google Sunglasses
707,GGOEGDHC074099,4871061239735971842,1.5,Google 17oz Stainless Steel Sport Bottle
708,GGOEGDHC015299,4871061239735971842,4.0,23 oz Wide Mouth Sport Bottle
709,GGOEGCNB021099,4871061239735971842,1.5,Seat Pack Organizer
710,GGOEGAAX0602,6403816382362616234,2.5,Google Women's 1/4 Zip Performance Pullover Black
711,GGOEGAAX0341,6403816382362616234,5.0,Google Women's Vintage Hero Tee Black
712,GGOEGALB034113,6403816382362616234,38.0,Google Women's Vintage Hero Tee Black
713,GGOEAAEH035217,6403816382362616234,38.0,Android Men's Vintage Henley
714,GGOEAAEJ035714,6403816382362616234,38.0,Android Men's Vintage Tank
715,GGOEGALB036515,6403816382362616234,38.0,Google Women's Scoop Neck Tee Black
716,GGOEAAEJ030913,6403816382362616234,38.0,Android Women's Long Sleeve Blended Cardigan Grey
717,GGOEGATB060213,6403816382362616234,38.0,Google Women's 1/4 Zip Performance Pullover Black
718,GGOEGAEA030415,6403816382362616234,38.0,Google Womens 3/4 Sleeve Baseball Raglan Heather/Black
719,GGOEGALQ034213,6403816382362616234,38.0,Google Women's Vintage Hero Tee White
720,GGOEGALB034117,6403816382362616234,38.0,Google Women's Vintage Hero Tee Black
721,GGOEGAAJ032814,6403816382362616234,38.0,Google Men's Long & Lean Tee Charcoal
722,GGOEGAAJ032817,6403816382362616234,38.0,Google Men's Long & Lean Tee Charcoal
723,GGOEGALB034115,6403816382362616234,38.0,Google Women's Vintage Hero Tee Black
724,GGOEGOCB017499,1765857025931877948,6.5,Leatherette Journal
725,GGOEAOCB077499,1765857025931877948,2.0,Android RFID Journal
726,GGOEGOCL077699,1765857025931877948,4.0,Google Hard Cover Journal
727,GGOEGESB015099,0203746675575323546,1.5,Basecamp Explorer Powerbank Flashlight
728,GGOEGESB015199,0203746675575323546,1.5,Google Flashlight
729,GGOEGDWR015799,0203746675575323546,2.0,Red Shine 15 oz Mug
730,GGOEGDHR082199,0203746675575323546,2.0,Google 25 oz Red Stainless Steel Bottle
731,GGOEGDHQ015399,0203746675575323546,2.0,26 oz Double Wall Insulated Bottle
732,GGOEGAAX0350,9800325346437826374,2.5,Google Men's Bayside Graphic Tee
733,GGOEGAAX0105,9800325346437826374,2.5,Google Men's 100% Cotton Short Sleeve Hero Tee Black
734,GGOEGAAX0680,9800325346437826374,2.0,Google Youth Baseball Raglan Heather/Black
735,GGOEGAAX0690,9800325346437826374,2.0,Google Youth Short Sleeve Tee White
736,GGOEGAAX0358,9800325346437826374,2.0,Google Men's  Zip Hoodie
737,GGOEGAAC035014,9800325346437826374,22.5,Google Men's Bayside Graphic Tee
738,GGOEGAAB010514,9800325346437826374,22.5,Google Men's 100% Cotton Short Sleeve Hero Tee Black
739,GGOEWCKQ085457,9483363633817181224,3.0,Waze Pack of 9 Decal Set
740,GGOEGFKA022299,9483363633817181224,1.5,Keyboard DOT Sticker
741,GGOEGCNB021099,9483363633817181224,1.5,Seat Pack Organizer
742,GGOEGDHQ015399,9412146594226097241,4.5,26 oz Double Wall Insulated Bottle
743,GGOEGAAX0781,9412146594226097241,2.0,Google Leather Journal
744,GGOEGOCB017499,9412146594226097241,4.5,Leatherette Journal
